timestamp,pos1,pos2,pos3,pos4,pos5,pos6,goal_pos1,goal_pos2,goal_pos3,goal_pos4,goal_pos5,goal_pos6,current1,current2,current3,current4,current5,current6,vel1,vel2,vel3,vel4,vel5,vel6,load1,load2,load3,load4,load5,load6,temp1,temp2,temp3,temp4,temp5,temp6,volts1,volts2,volts3,volts4,volts5,volts6,force_x,force_y,force_z
0.014932632446289062,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,1,3,0,0,0,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.030945777893066406,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,3,0,0,1,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.047499656677246094,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,1,3,0,0,0,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.06308865547180176,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,3,0,0,0,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,38,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.0790708065032959,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,1,4,0,0,1,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.09508538246154785,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,3,0,0,1,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,38,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.10991549491882324,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,4,0,1,1,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.1270589828491211,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,4,0,0,0,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.14294195175170898,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,4,0,1,0,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
0.1589198112487793,-0.02071379771597666,0.6283185307179586,-0.47181428130835723,1.3793854923454087,-0.08208801317072231,0.21712229929116061,-0.02071379771597666,0.6252498199452213,-0.4994326782629928,1.37785113695904,-0.08669107932982824,0.2195082586240305,0,0,4,0,0,1,0,0,0,0,0,0,0,20,84,0,24,-20,35,33,37,36,32,36,124,122,123,122,122,123,-999,-999,-999
