timestamp,pos1,pos2,pos3,pos4,pos5,pos6,goal_pos1,goal_pos2,goal_pos3,goal_pos4,goal_pos5,goal_pos6,current1,current2,current3,current4,current5,current6,vel1,vel2,vel3,vel4,vel5,vel6,load1,load2,load3,load4,load5,load6,temp1,temp2,temp3,temp4,temp5,temp6,volts1,volts2,volts3,volts4,volts5,volts6,force_x,force_y,force_z
0.01497793197631836,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04526348389787492,0.4736129275746746,0,0,6,1,1,0,0,0,0,0,0,0,28,24,104,-20,-36,32,35,33,39,36,32,38,124,122,123,122,122,123,-999,-999,-999
0.031870365142822266,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04526348389787492,0.4736129275746746,1,0,6,0,1,1,0,0,0,0,0,0,28,24,108,-20,-36,32,35,33,38,36,32,38,123,122,123,122,122,123,-999,-999,-999
0.04540443420410156,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04526348389787492,0.4736129275746746,1,1,5,0,1,1,0,0,0,0,0,0,28,24,108,-20,-36,32,35,33,38,36,32,38,124,122,123,122,122,122,-999,-999,-999
0.06291818618774414,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,1,0,6,0,0,1,0,0,0,0,0,0,28,24,108,-20,-36,32,35,33,38,36,32,38,124,122,123,122,122,123,-999,-999,-999
0.07881546020507812,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,1,0,6,0,1,1,0,0,0,0,0,0,28,24,108,-20,-44,32,35,33,38,36,32,38,124,122,123,122,122,112,-999,-999,-999
0.09492683410644531,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,0,0,6,1,1,0,0,0,0,0,0,0,28,24,108,-20,-40,32,35,33,38,36,32,38,124,122,123,122,122,122,-999,-999,-999
0.11040353775024414,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,0,0,5,0,1,1,0,0,0,0,0,0,28,24,108,-20,-40,32,35,33,38,36,32,38,124,122,123,122,122,123,-999,-999,-999
0.12785077095031738,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,1,1,5,0,0,0,0,0,0,0,0,0,28,24,108,-20,-40,32,35,33,38,36,32,38,124,122,123,122,122,123,-999,-999,-999
0.14183521270751953,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,0,0,5,0,1,0,0,0,0,0,0,0,28,24,108,-20,-40,32,35,33,38,36,32,38,124,122,123,122,122,122,-999,-999,-999
0.1590123176574707,0.2708137256940652,-0.040660417738769,0.49636396749025546,0.7610402716388461,0.036057351579663076,0.4795778259068492,0.2646763041485906,-0.04526348389787492,0.45953943821740806,0.7641089824115834,0.04679783928424356,0.4736129275746746,0,0,5,0,1,1,0,0,0,0,0,0,28,24,108,-20,-40,32,35,33,38,36,32,38,124,122,123,122,122,123,-999,-999,-999
