timestamp,pos1,pos2,pos3,pos4,pos5,aperture,goal_pos1,goal_pos2,goal_pos3,goal_pos4,goal_pos5,goal_aperture,current1,current2,current3,current4,current5,vel1,vel2,vel3,vel4,vel5,temp1,temp2,temp3,temp4,temp5,pwm1,pwm2,pwm3,pwm4,pwm5,volts1,volts2,volts3,volts4,volts5,force_x,force_y,force_z,force_gripper_x,force_gripper_y,force_gripper_z
0.0,-0.5123517691786922,0.0015339873328703,-0.2531079099236054,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5123517691786922,-0.0199418353273143,-0.2607778465879571,1.5907448641865385,-1.2642564503907203,-11.047179653537558,-5.38,-263.62,-78.01,0.0,-37.66,0.0479616478448041,0.0,0.0719424717672062,0.0,0.0,32,37,37,35,36,0,-88,-32,0,-12,12.9,13.0,12.9,12.8,12.9,-999,-999,-999.0,0.0,0.0,0.0
0.016930341720581055,-0.5108177818458219,0.0015339873328703,-0.2531079099236054,1.5907448641865385,-1.2624715749522866,-11.043730726194982,-0.5123517691786922,-0.0199418353273143,-0.2607778465879571,1.5907448641865385,-1.2642564503907203,-11.047179653537558,-5.38,-258.24,-75.32,0.0,-40.35,0.0719424717672062,0.0,0.0479616478448041,0.0,0.0,32,37,37,35,36,0,-88,-32,0,-12,12.9,13.0,13.0,12.8,12.9,-999,-999,-999.0,0.0,0.0,0.0
0.033945560455322266,-0.5108177818458219,0.0015339873328703,-0.2531079099236054,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5123517691786922,-0.0199418353273143,-0.2592438592550868,1.5907448641865385,-1.2642564503907203,-11.047179653537558,0.0,-252.86,-61.87,0.0,0.0,0.0719424717672062,0.0,0.023980823922402,0.0,0.0,32,37,36,35,37,-7,-82,-25,0,-6,12.9,13.0,13.0,12.8,12.9,-999,-999,-999.0,0.0,0.0,0.0
0.05095934867858887,-0.5092837945129516,0.0015339873328703,-0.2531079099236054,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5123517691786922,-0.0199418353273143,-0.2592438592550868,1.5907448641865385,-1.2642564503907203,-11.047179653537558,0.0,-263.62,-59.18,0.0,-40.35,0.0719424717672062,0.0,0.0,0.0,0.0,32,37,36,35,37,-7,-88,-25,0,-12,12.9,13.0,12.9,12.8,12.9,-999,-999,-999.0,0.0,0.0,0.0
0.06798553466796875,-0.5108177818458219,0.0,-0.2531079099236054,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5108177818458219,-0.0199418353273143,-0.2577098719222164,1.5907448641865385,-1.2642564503907203,-11.047179653537558,10.76,-258.24,-61.87,0.0,-43.04,0.0479616478448041,0.0,0.0,0.0,0.0,32,37,36,35,37,-13,-82,-25,0,-12,13.0,12.9,12.9,12.8,12.9,-999,-999,-999.0,0.0,0.0,0.0
0.08497381210327148,-0.5108177818458219,0.0015339873328703,-0.2531079099236054,1.589210876853668,-1.2609375876194162,-11.040749390238,-0.5108177818458219,-0.0199418353273143,-0.2577098719222164,1.5907448641865385,-1.26272246305785,-11.04421681884681,10.76,-260.93,-40.35,0.0,-43.04,0.023980823922402,0.0,0.0,0.0,0.0,32,37,36,35,37,-7,-88,-19,6,-12,13.0,13.0,12.9,12.8,12.9,-999,-999,-999.0,0.0,0.0,0.0
0.10195183753967285,-0.5092837945129516,0.0015339873328703,-0.2531079099236054,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5108177818458219,-0.0199418353273143,-0.2577098719222164,1.5907448641865385,-1.26272246305785,-11.04421681884681,-5.38,-260.93,-40.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,37,36,35,37,0,-88,-19,6,-6,12.9,13.0,12.9,12.8,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.11898374557495117,-0.5108177818458219,0.0015339873328703,-0.2531079099236054,1.589210876853668,-1.2609375876194162,-11.040749390238,-0.5108177818458219,-0.0199418353273143,-0.2577098719222164,1.5907448641865385,-1.26272246305785,-11.04421681884681,-5.38,-260.93,-40.35,0.0,-18.83,0.0,0.0,0.0,0.0,0.0,32,37,36,35,37,0,-88,-19,0,-6,12.9,13.0,13.0,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.13597750663757324,-0.5108177818458219,0.0015339873328703,-0.2515739225907351,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5092837945129516,-0.0199418353273143,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,-2.69,-263.62,-67.25,-5.38,-16.14,0.0,0.0,0.0,0.0,0.0,32,37,36,35,37,6,-88,-19,-7,-6,12.9,13.0,13.0,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.15294456481933683,-0.5108177818458219,0.0015339873328703,-0.2515739225907351,1.589210876853668,-1.2609375876194162,-11.040749390238,-0.5092837945129516,-0.0199418353273143,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,-2.69,-255.55,-5.38,-5.38,-26.9,0.0,0.0,0.0,0.0,0.0,32,37,36,35,37,6,-88,18,0,-12,12.9,12.9,12.9,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.16996407508850098,-0.5108177818458219,0.0015339873328703,-0.2515739225907351,1.5907448641865385,-1.259403600286546,-11.037752135353466,-0.5077498071800812,-0.0199418353273143,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,-2.69,-260.93,-48.42,-2.69,-26.9,0.0,0.0,0.0,0.0,0.0,32,36,36,35,37,6,-88,-19,6,-12,13.0,12.9,12.9,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.18694496154785156,-0.5108177818458219,0.0015339873328703,-0.2500399352578648,1.589210876853668,-1.2609375876194162,-11.040749390238,-0.5077498071800812,-0.018407847994444,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,21.52,-258.24,-72.63,0.0,-29.59,0.0,0.0,0.0,0.0,0.0,32,36,36,35,37,12,-88,-25,0,-12,13.0,13.0,12.9,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.2039649486541748,-0.5108177818458219,0.0015339873328703,-0.2500399352578648,1.5907448641865385,-1.259403600286546,-11.037752135353466,-0.5062158198472109,-0.018407847994444,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,-2.69,-244.79,-86.08,0.0,-29.59,0.0,0.0,0.0,0.0,0.0,31,36,36,35,37,12,-82,-25,6,-12,13.0,13.0,12.9,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.22252321243286133,-0.5108177818458219,0.0015339873328703,-0.2500399352578648,1.5907448641865385,-1.2609375876194162,-11.040749390238,-0.5062158198472109,-0.018407847994444,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,0.0,-242.1,-86.08,0.0,-32.28,0.0,0.0,0.0,0.0,0.0,31,36,36,35,37,18,-82,-25,0,-12,12.9,13.0,12.9,12.9,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.23988866806030273,-0.5108177818458219,0.0015339873328703,-0.2500399352578648,1.5907448641865385,-1.259403600286546,-11.037752135353466,-0.5031478451814702,-0.018407847994444,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,5.38,-242.1,-86.08,0.0,-16.14,0.0,0.0,0.0,0.0,0.0,32,37,36,35,37,25,-82,-25,0,-12,13.0,12.9,12.9,12.8,12.8,-999,-999,-999.0,0.0,0.0,0.0
0.25697946548461914,-0.5092837945129516,0.0015339873328703,-0.2500399352578648,1.5907448641865385,-1.259403600286546,-11.037752135353466,-0.5016138578485999,-0.0168738606615736,-0.2561758845893461,1.5907448641865385,-1.26272246305785,-11.04421681884681,16.14,-242.1,-86.08,0.0,-24.21,0.0,0.0,0.0,0.0,0.0,31,37,36,35,37,25,-82,-25,6,-6,13.0,12.9,12.9,12.8,12.8,-999,-999,-999.0,0.0,0.0,0.0
